comment_cleaned,label
SAD,1
نان تازه داغ دستم ممنون,0
قیمت اندازه کوچیک پیتزای خانواده نفر سیر کنه,1
ثبت بودم دلستر تلخ میخواهم بنده دلستر طعم لیمو آوردند توضیحات دقت نکرده,1
نان خامهای اصلا تازه سفارشم شیرینی ناتلی,1
موقع گرم غذای خوشمزه,0
خوشمزه همون تیکه تیکه خوشمزه,0
غذا افتضاح سرد ماسیده وجالب تومان خم هزینه بسته گرفتن,1
کیفیت غذا سرد وهم حجمش بسیارکوچیکه سیر نمیشی بایدونه,1
کیفیت سرعت دقت آرتین عالیست,0
بسته مخلفات کیفیت غذا برا تحویل غذا دقیقه قبلش زد تحویل غذایی تحویل نگرفته بودیم,0
نان خمیر,1
دوست نداشتم ممنون,0
سوسیس گیاهی فرانکفورتر سفارش دادم سوسیس پاپریکا برام فرستادن,1
کیفیت غذا خوشمزه زمانی گرم برخورد پیک کلا راضی بودم,0
سلام خدمت دوستان محترم غدا جد بدترین اکبر جوجهای خورده بودم باری رستوران سفارش میدادم مطمئنا دوست ندارم کدوم غذاهای دیگشونو امتحان دلایلمو نارضایتیم مینویسم اصلاح بشه دوستان تجربیات منو نداشته باشن مرغ مونده ندیدم مرغ توی سس انار مونده باشه پخته بشه سیاه باشه ندیدم ارسال مرغ برنج باشه روغنش بره توی برنج ظرف نباشهو تومن پول ظرف دریافت برنجم هیچی نفهمیدم خیسه سس مثلا انارو روغن مونده جوجه,1
کیک کهنه,0
سوسیس خام پنیر نون یکم سرخش بفرستید,1
,0
غدا کلا سرد,1
دستتون درد نکنه کاش پیتزاتون پیاز خام نداشت,0
سالاد ماکارانی سفارش دادم سالاد روسی آوردن,1
کیلو کیک عدد,1
زحمات اسنپ فود کمال تشکر دارم,0
غذا سرد واقع سردترین تجربه سفارش غذا کمتر دقیقه دستم کیفیتش بد میکنم مراجعه حضوری تجربه بهتری خواهم,1
کیک چندین باکس خورده رویکیک دورجعبه ریخته مشکل کوک پیک لطفا بفرمایید کوک میارن تکان بخوره,0
پیتزا خوشمزه گوشت راستهای مواد اصلا دیده نمیشد مواد,0
ممنونم احترام مشتری غذای کیفیت نشانه احترام شماست,0
ساعت زمان تحویل میزنید یکساعت تاخیر غذا فرستادید غذا سرد سیب زمینیها چیزبرگر خوردن سس پنیر سرد پیگیری جواب غذا گرم,1
کیفیت ساندویج کاهش مواد داخل ساندویچ اصلا منو مطابقت نداشت چندین قارچ حذفشده طرفی شور راحت خورده نمیشد اصلا انتظار نمیره قیمتای نسبتا مالیاتی قیمت غذای میاد کیفیتش اینطوری باشه,1
حجم کیفیت برگر اصلا پنیر نداشت خیارشور گذاشته,1
پنیر تبریز میزان گرم خورد غیرقابل استفاده پیگیری طریق پشتیبانی قرار تعویض گذشت ساعت پیگیری مجدد بعلت نداشتن پیک تعویض تاخیر افتاد توجه ترد پنیر تبریز انتظار میرود حجم پنیر بجای قرار گرفتن کیسه فریزر ظرفی قرار کالاهای له خورد نشود,1
تکه ران,1
مرسی غذا مطبوع قیمه چلوکباب لطف اسنپ فود ظرف بیست دقیقه موفق باشید,0
مایع ظرفشویی داخل بسته خرید,1
نون پیتزا سوخته مواد پیتزا نسبتا خام خدا قوت,1
آب خامه معلوم اصلا کیفیتش داره میاد پایین,1
افتضاح دفعه نان خالی تحویل بدن بهتره,1
تازه خوشمزه باکیفیت بسته دستم,0
لطفا ساندویچ شکل کمبو بدهید همراه سیبزمینی نوشابه,0
غذا پیک موقع,0
خوشمزه سرد,0
مزه کباب کوبیده میداد اصلا کیفیت گوشتش,1
عاشق تارت تمشک تارت توت فرنگیتونم عالین,0
کبابی سفارش بودم سوخته کیفیت گوشتشم بد,1
محشر مشتری پروپاقرص زرشک پلوهای میهمان,0
نون بربریهایی خورده بودم ممنون کیفیت,0
سیبزمینی تنوری,0
پریشب خریدم پیاز جعفری امشب میشه تقریبا نداشت ممنون,0
بد ساعت ونیم کشید ارسال بشه کیفیت نون واقعا بد بیات وسفت,1
سپاس خسته نباشید,0
بد قیمت کیفیت بهتری توقع میرفت,0
تاکید بودم ران باشه یکیش سینه,1
چی انقدر ایس پک طالبی شکلات ریخته مزه طالبی حس نمیشد,0
حیف چیپس سرکه نمکی پرینگلز ندارین طعم علاقم آخه کچابش دارید,0
افتضاح گوشت نپخته سیبزمینی خام غذای بیمزه بینمک متاسفم براتون,1
سریع ارسال مچکر,0
غذاش واقعا دیر,1
غذا بد بد مزهترین ساندویچی خورده بودم نان سوخته سرد کیفیت پایین,1
کیفیت طعم سرد,0
برگرهای فعلی,0
ویفرهای رولی بسته خرد,0
شیرینی ارسالی تازه,1
سفارش تیکه مرغ فرستادین,1
اصلا,0
غذا متوجه نشدم متوجه شوم غذا رسیده سرد مزه غذا,0
پیتزا چرب بقدری چرب جعبه چربی گوشت بو میداد پیتزا استیگ سیر ظهر,0
Vip منطقه داره میشه,0
تازه بینظیر,0
غذای انقدر تاخیر نتونستم تحویل بگیرم لطفا پول غذا برگردونبد,1
کیفیت افت پرپروک انتظار,0
سپاسگزارم,0
SAD,1
ساعت دقیقه غذارو مایی خونه باهاشون فاصله داشتیم آوردن چنگال وچاقو دستمال نداشت شب بدی,1
افتضاح خواهشا امتحان نکنید,1
شیرینیها دیواره جعبه جعبه چسبیدن چنتاشونم حمل نامناسب له,1
واقعا ارزش خریدن راضی بودم,0
خوشمزه دلنشین,0
زرشک پلو مرغ خورش قیمه ضعیف,0
قیمت واقعا خوبه,0
بهترینهای اسنپ,0
اونحال بموقع حدی سرد اصلا غذا چیه مهمانم عذرخواهی تعریف بودم یه فست فود سراغ دارم نمیدونم اینطوری سفارش سرد ماسیده یخ ادویه خبری سیبزمینی سس قارچ یه خمیر چسبیده توی سالاد نصف یه گوجه گیلاسی یه ظرف سالاد نصف یه گوجه گیلاسی کوچولو سالاد فصل تازه بنظر نمیرسید,1
مرغ پخته نشده گوشت مرغ سفت,1
سلام مهمانم سفارش بودم کیفیت خمیر پیتزاش مواد استفاده شدش قابلقبول کدوهای داخلش لاستیک ذرت مهمانهای نصفهنیمه گذاشتن نشاط انتظار اینها میرفت,1
کیفیت سالاد اندازش,0
نانها برشته برشتهتر خوبه بیشترش خمیره,1
چیزبرگر فرانسوی اصلا برگرشون کارخونهای پنیر نون سوخته اصلا راضی نبودم,1
غذا دقیقهای اوردن داغ خوشمزه مواردی ازشون خواسته بودم توجه مجموع راضی بودم ازشون خرید خواهم تشکر مدیریت محترم,0
کیکش سفت احتمالا هفتهای مونده شباهتی کیک شکلاتی نداشت رنگ کیکش سفید یکم شکلات ریختن توش رفع تکلیف کنن,1
مرغ سرخشده,0
نمیدونم داخل پیتزا مواردی استفادهشده ساعتها خوردنش تهوع سرگیجه دارم,1
SAD,1
برنج ومرغ باهم گذاشتین اب مرغ ریختین غذا نذری برنج شفته ومرغ اوزیرا مونده اصلا نشد بخوری واقعا متاسفم اینک ازشما خرید,1
غذا کلا بیکیفیت برنج نپخته خام مزه غذا معمولی حجم غذا مخصوصا مرغ حجم سوپ قیمت دلیل اینهمه تعریف نظرات متوجه نشدم قیمت غذایی کیفیت اصلا انتظار نداشتم,1
خامه سفارش دادم خامه آوردن قیمت ارزانتر,1
رولت واقعا بد مونده خشکشده باعت تاسف هستش کیک معمولی,1
هلیم خوشمزه مواد اولیه تازه دقیقه کشید بیاد,0
تزیینات رویه کیک بادام بلو بری حمل نقل شدت ریخته,1
غذای اصلی سیب زمینیها بد مزه کهنه,1
کهنه,1
سلام سفارشی داشتم کلمه داخل عنوانش استفادهشده محصول کلمه لیست محصولات شیرینی فروشی ماری تومان اختلاف قیمت همانطور لیست سفارشات میبینید قبلا سفارش کلمه داشتم الان میتونم بگم شیرینی واقع الکی بنده تومان اضافه دادم هیچچیز ویژهای نداشت ممنون میشم پیگیری لااقل بقیه هزینه اضافی پرداخت نکنند,1
نفر,0
سریع موقع تحویل,0
برنج دم نکشیده حجم جوجهکباب طعم,0
غذا متوسط آنقدر تاخیر سیر شدم,1
جوجه لیمو ترش گوجه کبابی ریز غذا گذاشته بد جوجه طعم اصلا,0
نون تازه گرم بدستم نونها یه تیکهاش سوخته,0
واقعا کیفیت داره برگرها سایز بزرگتر باشه میتونه برگرهای تهران باشه,0
یبار تازه,0
جعبه زولبیا بامیه زدن چسب تحویل پیک نتیجه میتوان حدس زد دست اوضاع چطور لااقل جعبه شیرینک میکردید جعبه حدی کثیف معلوم وسط برسرش,1
مشتری دائم بودم آیس پک اصلا حجم چیپس راضی نبودم نظرم نمیارزید,1
تخممرغ عدد شکسته نمک قوطی استوانهای انتخاب پاکتیها آوردند دقت,1
پیتزا سرد نون یه لایه پنیر تکه گوشت کوچیک بوقلمون بد سفارش باگت,1
رد ولوت سفارش دادم تازه طعم بدی,1
لطفا جنسی موجود منوی سفارش حذف بعدا مجبور لغو سفارش نشویم,0
توس سفارش کره گرمی میهن سفارش دادم برند مالکوم فرستادن اصلا استفاده نمیکنیم,1
نوتلایی بهمون تحویل دادید اصلا هزینش حجمش,1
کیفیت غذا غذا دیر ارسال میشه هزینه پیک دوبار سفارش دادم غذا سرد,0
ساعت تاخیر ارسالشده تخم مرغشم شکسته,1
ممنون انارهای سری بهتربود,0
خوشمزه خوشم امد,0
توضیحات درج کردیم پیاز نداشته باشن لطفا دقت بشود,1
پیتزا چانو سیرش,0
دیر سرد,0
سفارش مخلوط میگیره بفرسته کیفیت پایین,1
زمانی مشکل نام نام خانوادگی سفارشدهنده قبض چاپنود غذا آدرس شرکت ارسال چطور میتوان تشخیص سفارش پرسونل اینجوری میشه غذای سرد خورد,1
خوشمزه حجمش,1
غذا سرد سرد بدست پیک مسیر غذا حمل میکنه وآخرین آدرس باشم مسلما اون غذا سرد وبیمزه تحویل میشه,1
دستتون درد نکنه هستید,0
غذا یکساعت چهل دقیقه تاخیر,1
قیمتها بردن,1
سوپ اصلا طعم جالبی نداشت انگار خورشت قیمه توش برنج ریخته سوپ روغن نمیدونم اصلا توش مرغ نداشت مقدارش قیمت,1
خوشمزه مغز صرفهجویی پسته بادام موفق باشید,0
تشکر ازین فروشگاه بخاطر ارسال بموقع بازگرداندن وجه نقدی مابهالتفاوت کالا,0
قسمت توضیحات سفارش قارچ قارچ,1
دونر مال شب بو د داغ سفت بد متاسفم,1
موقع کیفیت درجه,0
افتضاح نونش خرد توی نون بربری میزاشتن اینجوری بدن دست مشتری متاسفم,1
,0
چندمین جنس انتخابی محصول ارسال میکنند محصولی موجود ندارید لطفا محصول ارسال نکنید,1
نوشتن نوتلا نوتلا,1
ظرف سیبزمینی نصف حجم سیبزمینی واقعا,1
توی منو برگرها همراه سیبزمینی ارسال سیبزمینی همراش سالاد سزار مرغ کیفیت بد,1
دارم مینویسم لطفا قارچ نریزید حساسیت دارم غذا قارچه سخته خوندن توضیحات ظرف یکبار مصرفی دارید استفاده میکنید اصلا جنس نداره حرارت ظرف بخاطر داغی غذا آب وسط غذا ریخت میز مرسی واقعا,0
دیر دستمون سرد خوشمزهای دفعات,1
حتما ساندویچ اجبار سس انتخاب بشه اصلا منطقی سس تومن غذا دیر سس غذا خوشمزه حجم غذا قیمت تناسب نداشت کیفیت نون میزان محتویات ساندویچ اصلا توی منو ذکر بشه پیاز جعفری اضافه میشه,1
مرغ بوی بدی میداد خوردن,1
وافل مونده مقدار موز توتفرنگی بستنی خامه نداشت پیک کلا بهم ریخته,1
خوشمزه,0
پیتزاها طعم امیدوارم بتونن شعبههای سیب,0
مینویسم فانتا نوشابه فانتاا کوکا فانتا کوکا رنگش فرق میکنه نوشتنش بگم سماق بجاش مایونز بفرستین,1
بیخود گرون حجم غذا تهدیگ سوخته,1
ساندویچ کالباس نخوردین حتما باهاماس سفارش بدین,1
نان کشمشی تومنی نان شکلاتی تومنی فرستاد پیاز کیلو کیلو,1
HAPPY,0
میبخشید غذای منو نصفه آوردید مهمان داشتم پول دوتا خورشت قورمه سبزی پرداخت غذا آوردند لطفا رسیدگی شرمنده مهمانم شدم,1
تازه بهداشتی قیمت ممنون,0
بدمزه سسش مزخرف بدمزه انگاری تلخ کلا نمیشد خورد حیف پولی ک دادم,1
جزو رستورانهاییه میشه هرروز بدتر دیروز,1
پیتزا چیزبرگر,0
ملات خوشمزه,0
اخرت نون ممنونم,0
سلام سفارش تاخیربسیاررسید وشیک شل وبی کیفیت واقعا فاصله یکربع وسفارش ساده معطلی زیاده اونم بیکیفیت وحجم,1
اب معدنیهایی فرستادن معلوم چقدر افتاب مونده انقدر کهنه تاریخ انقضاش ماه مونده,1
کیفیت غذا بد ب قیمت,1
اصلا ساندویچش مقدار گوشتش گوشتش شدت بو میداد,0
تشکر اسنپ فود سوپرمارکت مرزداران,0
سریع ارسال غذا گرم ادویه مزه پیتزا بشه راضی بودم,0
منظم سر وقت تحویل,0
توضیحات نوشته بودم ساعت ظهر ارسال شه ساعت تحویل نگهبانی جالبه برگه فاکتور نوشته تحویل ساعت باشه غذا سرد,0
خوشمزه خوشطعم خوش پخت خشک نپخته چی اندازه یه سس انار خوشمزه کنارش ارسال واقعا کبابی کیفیتیه تنور سفارشهای قبلیم راضی بودم ایشالا کیفیت بمونید,0
سیبزمینی بو مزه کارتن میداد مزهی روغن سوختههمه چی همدست بدست سیبزمینی بدمزه باشه هیچوقت توضیحات اهمیت نمیدن,1
نونتون حرف نداره ممنون,0
یککلام بوود حلالتون بشه پولی میارید هیچچیز دریغ نکرده,0
یکم پیتزاش کوچیکه قیمتش,0
حلیم خوشمزهای دیر سرد,1
اعلام تاخیر بستنیها آب تغییرفرم,1
فوقالعاده خشک بد,1
چی محتوای سوپ,0
ساندویچ مرغ سوخاری,0
چلو کباب کوبیده مزه کتلت میداد بزنجشونم خمیر شفته مزه واقعا بدی,1
دمتون گرم غذای پیتزا پالرمو سفارش دادم ایرادی نمیشه ازش دوستان غذای پرملات دوست حتما یکبار پیتزا پالرمو امتحان,0
خورشت نیافتاده,1
کیک ارسال اسیب دیده کیک اسیب دیده دستم رسیده,1
موقع ممنون سرویسدهی خوبتون,0
ساندویچ سالاد مرغ گرفتم خوشمزه قیمت خوبه وگرنه صورت افزایش قیمت حتما داره محتویاتش بشه,0
شدت ضعیف,1
توضیحات سس سفارش دادم نهایت انجام نشد,1
سالاد سزار واقعا خدایی فیله مرغ دونه گوجه گیلاسی بقیهاش کاهو پیتزا چندان تعریفی نداشت,1
مزه ش فرق,1
پیتزا قارچ مرغ اصلا کیفیت نداشت,1
مزهترین گوشت برگری خوردم دریغ یه مقدار طعم,1
شیرینی تازه برخورد پیک,0
ساندویچ هات رویال سرد تند توی سفارش قید بودم داخل ساندویچ سس نداشته سس بطوری نون ساندویچ خیس خمیر کیفیت واقعا پایین خوردن,1
سلام جنسی ندارید زودتر اصلاح بنده خاطر انار دون باقی اجناس سفارش دادم,1
سس مخصوص نگذاشتون منو,0
ماست پروبیوتیک هراز سفارش دادم ماست سون کاله آوردن نمیخواستم ماست هراز بخاطر پروبیوتیک بودنش سفارش بودم,0
تازه خوشمزه مخصوصا رولتها زود دستم ممنون,0
SAD,1
SAD,1
ممنون تخفیف روزهای سخت اقتصادی,0
حجم غذا فوقالعاده مخصوصا قیمت واقعا,1
غذا دیر تحویل غذا سرد اصلا ابدا راضی نیستم دیگه سفارش نمیدم,1
طعم غذا یخ خوردن مجدد گرم,1
مخلفات گرم,0
امروز سفارش دادیم ه چیزهایی اضافی کسری خواستیم صورتی چکم سفارش,1
ساندویچ سرد ده دقیقهای,0
برگش کباب لقمهاش بد واقعا سختی میشد یه تیکه ازش جدا اتقدر سفت بعید هنچین غذایی,1
قبلا نمیدونم اینقدر مزهاش احتمالا موادی کیفیت کمتر استفاده میکنن حیف,1
زرشک پلو مرغ بوی بد,1
پک دیزی تخفیف درصدی کاستی نداشت بنظرم یدونه لیمو عمانی کوچیک ظرف دیزی زیاده دیزی دنبه نداشت میتونه انتخابی باشه موقع سفارش,0
حجم کیفیت غذا افت متاسفم واقعا فک نکنم دیگه بگیرم,1
سلام قارچ سفارش بودم قارچ سیاه پلاسیده تحویل نظرم پیک توجه خرید بکند فروشگاه تذکر اعتماد,1
تاریخ محصولی ارسال میکنید بهروز روز تعطیل بهروز باشه الان تاریخ انقضای شیرتون امروز هست تاریخ نان تست بهروز روز دیگه مهلت دتره شرایت نگهداریتونو نمیدونیم اگه بهروز ارسال تین مشکلات میشه باخیال راحت محصولو مصرف میکنیم طلب خیر میکنیم ممنون,1
دستتون درد نکنه مشتریتون شدم,0
تاخیر آیس پکها آب همراه آیس پکها نی موجود لیوان آبمیوه آورده نشده,1
بستنی سفارش بودم بستنیها ضربه بسته بندیش,0
شیرینیهایتر کیفیت پایینی مونده,1
محصولات کیفیتی اراءه میدن امروز کیسه زباله سبز گرفتم کیسه زباله فسیل کیفیتش عالیه نداشتن,0
سریع بدستم وکیفیت سفارش انتظار ممنون,0
ساعت تاخیر سرد بد مزه,1
میتونم بگم پیتزاهای باروژ پیتزا باروژ هست اصلا نمیتونم باکسی شریک شم خوردنش,0
کیفیت غذا پایین اومده متأسفانه اصلا,1
سوپ ندادید خوبه قلم سفارش,1
بجای بیسکوییت شیرین عسل باراکا ارسال,1
میزان تخممرغ عدد,0
پتزا سرد بدست,1
ذرت مکزیکی سس غرق سس بودا شیر پسته خامه شیر خامه شیر پسته اصلا راضی نبودم,1
واقعن بیکیفیت,1
واقعا پیک باروژ ضعیفه موقع ناهار سفارش بدید سر شام برسه اونم,1
نزدیکیه محل تحویل رستوران ساعت نیم زمان برد تحویل غذا,1
بنده شغلم مرغ گوشت میشناسم جوجهکباب قسمت بالای ران کعب تشکیلشده فوقالعاده لطیف هست رگ ریشه قیمتی گرانترین قسمت مرغ میباشد پختهشده مرینت مزه ممنون تشکر,0
ته چین بوی تخممرغ میداد مرغ لابلای برنج نود,1
سلام پیتزا استیک گوشت تکهای کلا طعم زیتون استفادهشده پیتزا غالب,1
یکم چرب قیمت غذا کیفیت نوشابشم,0
ممنون مجموع فالودهاش شربتی نداشت رشته,0
طعم غالب گوجه رب کیفیت سوپ شدت تاثیر قرار,1
مواد اصلا قارچی دیده نمیشد بخصوص قسمت قارچ گوشت اصلا اندازه موادش قیمتش نمیارزه,0
مشتری بودم اولم سفارش میدم شعبههای مختلف غذا سفارش دادم قطعا بارم گذشته وقت غذای بیات قبلا درست دست تون مونده واسه مشتری اونم دائمی نفرستید امیدوارم واسه بقیه مشکل نیاد ارادت,1
زمان آماده ارسال غذا,0
کیفیت حجم پیک مودب باشخصیت ممنون رستوران خوبتون,0
بنظرم مرغ فر میپزید خوشمزه پخت اشکالش اگه بتونید جعفری پیاز خورد بزارید پیاز جدا گانه قرار بدید یه تیکه لیمو ترش تازه بهش اضافه بینظیرترین لذیذترین مرغ بریان منطقه خواهد مدیر کارکنان محترم مخصوصا سر آشپز عزیز تون سپاسگزارم,0
قبلا سوخاری بودم راضی بودم اینبار کیفیت بسته پایین واقعا جعبهای محتوی غذا بیکیفیت کف جعبه چرب سیاه جعبه متفرقه هست نشان بهداشتی نداشت تکههای سوخاری کیفیت بالایی نداشت مواد سوخاری پوست راحتی کنده آلپارو بخاطر کیفیتش برخورد پرسنلش قبول داشتم,1
شیر لاکتوز ارسال نشد,1
پیتزای پپرونی سرعت ارسال,0
پاستا دوست خرید شاپ توصیه میکنم,0
سلام,0
پیتزای ارسالی سرد,1
نان هات داگ بیات کهنه غذا سرد,1
پیک تأخیر غذا,0
موقع اومدن قیمتها,0
چیپس پنیر واقعا بد طعم خوردن,1
اژدها دیگه اون اژدهای سابق قبلا پنیر الان بگردی تازه یه پنیر کنی لطفا مخلفات نوشتین پنیر فراوان حذفش دیگه پنیر نمیریزید ضعیف شدین,1
نانها شور نانها داغ داغ داخل نایلون گذاشته عرق خمیر نان سنگک نان بربری جدا نکرده باهم داخل نایلون گذاشته,1
اصولا قرمه سبزی فیلیپر خوبه ایندفعه انگار ته قوامش آرد اضافه طعم سوختگی,0
ممنونم ازتون,0
پیتزا فوقالعاده سایز غذای بچه یه نفره,1
بینظیر واژهی کمیه,0
بسته نامناسب ماست بقیه خریدا ریخته حیاط اون اقا اومده داخل راهرو اسانسور مارو گند کشیده رفتن ماست خریدن ماستی سفارش دادم سون خریدن بستنی سفارش دادم وانیلی میهن پاک فرستادن پاک میخواستم خودم بلدم بودم پاکرو انتخاب خوبه انتخاب مشتری احترام بزارین ازخودتون تصمیم نگیرین,1
نفر سیر شدیم,0
تازه سریع,0
غذا زودتر زمان پیشبینی گرم سالم دستم کیفیت غذا حجمش برگر پخته طعم سرعت طرز برخورد پیک واقعا ممنون چورک برگر اسنپ فود,0
پیک غذا اشتباه آورده,1
یه املت ساعت مسافت رستوران,1
یه وسایل میخاد برداره بیاره غذا نمیخاد بپزه دقیقه طولش,1
غذا شور ادویههای مناسبی استفاده نشده,1
سلام لطفا تخفیف ندید اگه تخفیف میدید واقعا تخفیف بدید حجم غذا مقدار سیبزمینی چیکن استریپس اصن کیفیت پیتزا داره میاد پایین مشتری هستم راضی بودم دفعه,0
